Project name,Country,Partners,Project type,Announcement,Operation,Project Status,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,"ArcelorMittal, ifp, Axens, Uetikon, Grassco, brevik, TotalEnergies (T&S)",Capture,2019,2025,Planned,0.7,0.7,Iron and steel,Unknown/unspecified,,Europe & Central Asia
3D DMX ArcelorMittal and IFPEN Dunkirk 'REUZE',France,"ArcelorMittal, Engie, Infinium",CCU,2022,2025,Planned,0.3,0.3,Iron and steel,Use,,Europe & Central Asia
7 Blue Ammonia Facility,Qatar,"QAFCO, thyssenkrupp Uhde/Consolidated Contractors Company (EPC)",Full Chain,2022,2026,Under construction,1.5,1.5,Hydrogen or ammonia,Unknown/unspecified,,Middle East & North Africa
8Rivers H2 (8RH2) (WY),United States,"8Rivers, Wyoming Energy Authority",Capture,2022,,Planned,,,Hydrogen or ammonia,Dedicated storage,,North America
Abadi CCS/CCUS,Indonesia,"Inpex Masela 65%, Shell (trying to find a buyer for its shares), ITB (feasibility)",Full chain,2018,2027,Planned,2.41,2.41,Natural gas processing/LNG,Unknown/unspecified,,East Asia & Pacific
Ackerman Combined Cycle Plant (MS),United States,"Trifecta Renewable Solutions, Tennessee Valley Authority",Capture,2023,,Planned,1.8,1.8,Power and heat,Dedicated storage,Red Hills CO2 storage hub (MS),North America
Acorn CCS phase 1-Capture at St Fergus,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",Capture,2016,2028,Planned,0.3,0.3,Natural gas processing/LNG,Dedicated storage,Acorn CCS,Europe & Central Asia
Acorn CCS phase 1-T&S,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2016,2028,Planned,0.55,0.8,T&S,Dedicated storage,Acorn CCS,Europe & Central Asia
Acorn CCS phase 2,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2017,,Planned,5,5,T&S,Dedicated storage,Acorn CCS,Europe & Central Asia
Acorn H2,United Kingdom,"Storegga, Chrysaor, Shell",Capture,2018,2028,Planned,0.4,0.4,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe & Central Asia
Acorn Isle of Grain to Peterhead shipping,United Kingdom,"Acorn, Uniper",Transport,2023,,Planned,2,2,Transport,Dedicated storage,Acorn CCS,Europe & Central Asia
Adams Fork Energy clean ammonia project (WV),United States,"Adams Fork Energy, the Flandreau Santee Sioux Tribe",Capture,2022,,Planned,,3.591,Hydrogen or ammonia,Unknown/unspecified,,North America
Adbri Project,Australia,"Adbri, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",Capture,2021,,Planned,,,Cement,Dedicated storage,South West Hub Project,East Asia & Pacific
ADM Cedar rapids bioethanol (IA),United States,ADM,Capture,2022,,Planned,,,Biofuels,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
ADM Clinton bioethanol (IA),United States,ADM,Capture,2022,,Planned,,,Biofuels,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
ADM Decatur Campus CO2 Storage Site Expansion (IL),United States,ADM,T&S,2022,2028,Planned,2.95,2.95,T&S,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
ADM Maroa/Forsyth CO2 Storage Site Development (IL),United States,ADM,Storage,2023,2028,Planned,3.3,3.3,Storage,Unknown/unspecified,Maroa (IL),North America
ADNOC CO2 storage hub (Phase 2 of fertiglobe pilot),United Arab Emirates,ADNOC,Storage,2023,2030,Planned,5,5,Storage,Dedicated storage,ADNOC CO2 storage hub,Middle East & North Africa
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),United States,Phillips 66,Capture,2021,,Planned,0.19,0.19,Other fuel transformation,Unknown/unspecified,,North America
AEB Amsterdam,Netherlands,AEB Amsterdam,CCU,2021,2028,Planned,0.44,0.44,Power and heat,Use,,Europe & Central Asia
Aemetis CCS (CA),United States,Aemetis Carbon Capture (Aemetis),Storage,2021,2024,Planned,1.7,1.4,Storage,Dedicated storage,Aemetis CCS,North America
Aemetis CCS Keyes facility (CA),United States,Aemetis,Capture,2021,2024,Planned,0.2,0.2,Biofuels,Dedicated storage,Aemetis CCS,North America
Aemetis CCS Riverbank facility (CA),United States,Aemetis,Capture,2021,2024,Planned,0.2,0.2,Biofuels,Dedicated storage,Aemetis CCS,North America
Air Liquide hydrogen facility Rotterdam,Netherlands,"Air Liquide (build, own, operate)",Capture,2012,2026,Under construction,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos,Europe & Central Asia
Air Liquide Shanghai Chemical Industry Park (SCIP) decarbonisation (Shanghai),China,SCIPIG (Air Liquide),Capture,2022,2028,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
Air Products for Exxonmobil Botlek Rotterdam refinery,Netherlands,"Exxonmobil, Air Products",Capture,2019,2026,Under construction,,1.011,Other fuel transformation,Dedicated storage,Porthos,Europe & Central Asia
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),United States,"AirCapture, Nutrien",CCU,2022,,Planned,,,DAC,Use,,North America
AirCapture Nuclear DAC at JM Farley Nuclear (AL),United States,"Southern Company, Battelle, AirCapture LLC",Capture,2022,,Planned,,,DAC,Dedicated storage,,North America
Airhive Alpha Lab pilot,Canada,"Airhive, Deep Sky",CCU,2023,2024,Planned,0.001,0.001,DAC,Use,,North America
Aittaluoto power (Pori),Finland,"RenGas, Pori Energia",CCU,2022,2027,Planned,0.1,0.1,Power and heat,Use,,Europe & Central Asia
Aker CC Biomass CHP (unknown facility),Germany,"Aker CC, unknown company",Capture,2023,,Planned,0.25,0.25,Power and heat,Unknown/unspecified,,Europe & Central Asia
Aker CC mineral production (unknown facilities),United States,"Aker CC, unknown company",Capture,2023,,Planned,1.5,1.5,Cement,Unknown/unspecified,,North America
Aker CC power plant Europe (unknown facilities),EU,"Aker CC, unknown company",Capture,2023,,Planned,14,14,Power and heat,Unknown/unspecified,,Europe & Central Asia
Aker CC refinery (unknown facility),United States,"Aker CC, unknown company",Capture,2023,,Planned,1.2,1.2,Other fuel transformation,Unknown/unspecified,,North America
Aker CC Swedish energy company (unknown),Sweden,"Aker CC, unknown company",Capture,2023,,Planned,0.2,0.2,Power and heat,Unknown/unspecified,,Europe & Central Asia
Aker CC waste to energy Northern Europe (unknown facility),EU,"Aker CC, unknown company",Capture,2024,,Planned,,,Power and heat,Unknown/unspecified,,Europe & Central Asia
Aker CC WtE e-fuels,Finland,"Aker CC, unknown company",CCU,2023,,Planned,0.1,0.1,Power and heat,Use,,Europe & Central Asia
Alaska Railbelt CCS Project (AK),United States,University of Alaska Fairbanks,Storage,2023,,Planned,,,Storage,Dedicated storage,Alaska Railbelt CCS Project (AK),North America
Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021,2027,Planned,10,10,T&S,Dedicated storage,Alberta Carbon Grid (ALB),North America
Alberta Carbon Grid (ALB) phase 2,Canada,"Pembina Pipeline Corporation, TC Energy",T&S,2021,,Planned,10,10,T&S,Dedicated storage,Alberta Carbon Grid (ALB),North America
Alberta Carbon Trunk Line (ACTL) - Edmonton Connector Phase 2,Canada,Wolf Midstream,Transport,2023,2024,Under construction,7,7,Transport,Dedicated storage,Alberta Carbon Trunk Line (ACTL),North America
Alberta Carbon Trunk Line (ACTL) (ALB),Canada,"Wolf Carbon Solutions (Wolf Midstream, Enhance Energy)",Transport,2011,2020,Operational,14.6,14.6,Transport,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility,North America
Altalto,United Kingdom,Altalto Immingham Limited,Capture,2021,,Planned,,,Biofuels,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Altera Stella Maris CCS Project Phase 2,Norway,"Altera, Hoegh LNG, Sevan SSP (FEED), Wintershall Dea ",T&S,2020,,Planned,3,3,T&S,Dedicated storage,Altera Stella Maris CCS/ Havstjerne ,Europe & Central Asia
Aluminium Bahrain MHI capture,Bahrain,"Aluminium Bahrain (Alba), Mitsubishi HI (Feasibility/tech)",Capture,2022,,Planned,,,Other industry,Unknown/unspecified,,Middle East & North Africa
Aluminium Dunkerque feasibility study,France,"EDF, Aluminium Dunkerque, Trimet, Rio Tinto and Fives",Capture,2021,,Planned,0.24,0.24,Other industry,Unknown/unspecified,,Europe & Central Asia
Amager Bakke/Amager Resource Centre (ARC),Denmark,"ARC, Babcock & Wilcox, Copenhagen Port",Capture,2020,2025,Planned,0.5,0.5,Power and heat,Dedicated storage,,Europe & Central Asia
ANRAV-CCUS (Devnya plant),Bulgaria,"Heidelberg Materials, Petroceltic",Full chain,2022,2028,Planned,0.8,0.8,Cement,Dedicated storage,,Europe & Central Asia
Antwerp@C CO2 Export Hub phase 1,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys and the Port of Antwerp",Transport,2019,2027,Planned,2.5,2.5,Transport,Dedicated storage,Antwerp@C,Europe & Central Asia
Antwerp@C CO2 Export Hub phase 2,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys and the Port of Antwerp",Transport,2019,2030,Planned,7.5,7.5,Transport,Dedicated storage,Antwerp@C,Europe & Central Asia
"Appalachian basin storage MoU (OH, PA, WV)",United States,"Battelle, Equinor",Storage,2022,,Planned,,,Storage,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Aramis CCS storage phase 1,Netherlands,"TotalEnergies, Shell, EBN, Gasunie, ",Storage,2019,2029,Planned,7.7,7.7,Storage,Dedicated storage,Aramis CCS,Europe & Central Asia
Aramis CCS storage phase 2,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",Storage,2019,2030,Planned,3.1,3.1,Storage,Dedicated storage,Aramis CCS,Europe & Central Asia
Aramis CCS transport phase 1,Netherlands,"TotalEnergies, Shell, EBN, Gasunie, ",Transport,2019,2029,Planned,22,22,Transport,Dedicated storage,Aramis CCS,Europe & Central Asia
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Belgium,"ArcelorMittal, LanzaTech, Primetals Technologies, E4tech",CCU,2011,2022,Operational,0.125,0.125,Iron and steel,Use,,Europe & Central Asia
Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),France,"Arcelor Mittal, Air Liquide",Capture,2020,,Planned,1.925,1,Iron and steel,Dedicated storage,,Europe & Central Asia
ARGO waste-to-energy plant,Denmark,ARGO,Capture,2021,2030,Planned,,,Power and heat,Unknown/unspecified,,Europe & Central Asia
Aries (LA),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2026,Planned,15,10,Storage,Unknown/unspecified,,North America
Arkalon CO2 Compression Facility (KS),United States,Conestoga Energy,Full chain,,2009,Operational,0.25,0.31,Biofuels,EOR,,North America
Arthit offshore gas field CCS,Thailand,"PTTEP, Honeywell (tech and FEED)",Full chain,2021,2027,Planned,,,Natural gas processing/LNG,Dedicated storage,,East Asia & Pacific
Arun CCS,Indonesia,"Carbon Aceh, PEMA (JV)",Storage,2022,2029,Planned,,,Storage,Dedicated storage,Arun CCS,East Asia & Pacific
Ascension Clean Energy (ACE) complex (LA),United States,"Clean Hydrogen Works (Joint venture between Denbury Carbon Solutions (ExxonMobil) (T&S), Hafnia (ammonia export), MOL (shipping))",Capture,2022,2027,Planned,12,12,Hydrogen or ammonia,Dedicated storage,Denbury Green pipeline /Gemini (LA),North America
Ash Grove Cement Foreman Plant (AR),United States,"Southern States Energy Board, DOE Office of Clean Energy Demonstrations",Full chain,2023,,Planned,1.4,1.4,Cement,Dedicated storage,,North America
Asnæs Power Station,Denmark,"Orsted, Aker CC (tech), NCC (construction)",Capture,2022,2026,Under construction,0.28,0.28,Power and heat,Dedicated storage,Northern Lights,Europe & Central Asia
Athabasca Banks Carbon Hub (ALB),Canada, Vault 44.01 Ltd. and Moraine Initiatives Ltd.,Storage,2022,2027,Planned,,,Storage,Dedicated storage,Athabasca Banks Carbon Hub (ALB),North America
Athabasca Leismer project (ALB),Canada,"Entropy Inc, Athabasca Oil Corporation",Full chain,2022,2025,Planned,0.44,0.44,Other fuel transformation,Unknown/unspecified,,North America
Atlantic Coast CO2 Emissions Storage Sink (ACCESS) (FL),United States,Southern States Energy Board,Storage,2023,,Planned,,,Storage,Dedicated storage,Project ACCESS (FL),North America
