Region,Country,Subnational Region,Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Europe & Central Asia,Finland,National,Finland carbon tax,0.001157294,0.001161958,0.001110869,0.001127697,0.001212717,0.001129256,0.001173583,0.001144825,0.001089906,0.001094813,0.001047852,0.001119929,0.001123876,0.001187678,0.001124671,0.000929934,0.001051365,0.000953715,0.000859182,0.000833638,0.000890317,0.000786854,0.000739156,0.000728033,0.000679007,0.000638243,0.000634405,0.000588151,0.000584065,0.000547528,0.000516743,0.000486798,0.000458526,0.000458526,0.000458526
Europe & Central Asia,Poland,National,Poland carbon tax,0.003712478,0.003622309,0.003528134,0.003487688,0.0034027,0.003323692,0.003353959,0.00325184,0.002973989,0.002865546,0.00268091,0.002624741,0.00254474,0.002506404,0.002409318,0.002336737,0.002349661,0.002269357,0.002209445,0.002132838,0.002135374,0.002056705,0.002004898,0.001942871,0.001855618,0.00186694,0.001907111,0.001939875,0.001883041,0.001791723,0.001774368,0.001840767,0.001788526,0.001788526,0.001788526
Europe & Central Asia,Norway,National,Norway carbon tax,0.003712478,0.001172997,0.00118929,0.001247455,0.001302541,0.001277445,0.001293746,0.001333648,0.001347438,0.001370384,0.001271842,0.001274715,0.00124984,0.001267018,0.001229968,0.001144439,0.001117541,0.001094666,0.001094281,0.001064277,0.001053524,0.000991074,0.000958939,0.000945796,0.000938436,0.000963253,0.000947411,0.000937791,0.000901866,0.000870615,0.000899699,0.000878146,0.000845527,0.000845527,0.000845527
Europe & Central Asia,Sweden,National,Sweden carbon tax,0.003712478,0.000949708,0.000985579,0.000987497,0.001008337,0.00097574,0.001019392,0.000953854,0.000953089,0.000933813,0.00087368,0.000863699,0.000872172,0.000846222,0.000801242,0.000769783,0.000773506,0.000726406,0.000693197,0.000648561,0.000668873,0.00060846,0.000573298,0.000545866,0.000528687,0.000531934,0.000527449,0.000516565,0.000483647,0.000477071,0.00049593,0.000462993,0.000450948,0.000450948,0.000450948
Europe & Central Asia,Denmark,National,Denmark carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.001096377,0.001039165,0.000992535,0.000915722,0.000929115,0.000906782,0.000938435,0.00083042,0.000762868,0.00082113,0.000747669,0.000703724,0.000684396,0.000655236,0.000583372,0.000527991,0.00054044,0.0004967,0.000479215,0.000495818,0.00046728,0.00045783,0.000425767,0.000417637,0.000426014,0.000408688,0.000408688,0.000408688
Europe & Central Asia,Slovenia,National,Slovenia Carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,0.000287782,0.000310439,0.000316886,0.000302148,0.000297406,0.000290431,0.000283909,0.000274377,0.000279652,0.000256124,0.000245169,0.000226542,0.000217084,0.000212104,0.000193823,0.000196862,0.000203522,0.000203795,0.000197642,0.000192492,0.000185826,0.000182806,0.000176452,0.000155283,0.000155283
Europe & Central Asia,Estonia,National,Estonia carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.55E-05,5.37E-05,4.98E-05,5.70E-05,5.25E-05,4.53E-05,5.39E-05,5.27E-05,4.99E-05,5.37E-05,5.18E-05,4.80E-05,4.75E-05,4.95E-05,5.08E-05,3.59E-05,2.89E-05,2.78E-05,2.57E-05,2.57E-05,2.57E-05
Europe & Central Asia,Latvia,National,Latvia carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,5.55E-06,5.71E-06,5.77E-06,5.44E-06,5.16E-06,5.37E-06,5.00E-06,4.92E-06,4.75E-06,4.65E-06,4.77E-06,4.75E-06,4.62E-06,4.72E-06,4.65E-06,4.60E-06,4.38E-06,4.13E-06,4.13E-06,4.13E-06
Europe & Central Asia,EU,National,EU ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.040878991,0.039667386,0.037418942,0.036613291,0.034655727,0.033689361,0.031213726,0.029851421,0.030329173,0.030227462,0.029920081,0.028634018,0.027388705,0.026282591,0.026456167,0.025877184,0.025877184,0.025877184
North America,Canada,Alberta,Alberta TIER,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.003322459,0.003250725,0.003170048,0.003193852,0.003285176,0.003385036,0.003415498,0.00351216,0.00328824,0.003306155,0.0032421,0.003244076,0.003110267,0.002991522,0.002950952,0.002950952,0.002950952
Europe & Central Asia,Switzerland,National,Switzerland ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000146374,0.000142771,0.000140505,0.00012655,0.000128156,0.000129057,0.000119539,0.000118254,0.000118982,0.000114906,0.000109306,0.000108579,0.000106692,0.000103578,0.000101245,0.000101245,0.000101245
North America,Canada,National,New Zealand ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000925148,0.000909936,0.00087042,0.000840225,0.000854303,0.000829505,0.000838078,0.00082987,0.000825751,0.000824834,0.000803531,0.000811768,0.000807788,0.000770259,0.000738217,0.000738217,0.000738217
Europe & Central Asia,Switzerland,National,Switzerland carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000426924,0.000416415,0.000409807,0.000369105,0.000373788,0.000376417,0.000348655,0.000344908,0.00034703,0.000335143,0.00031881,0.000316688,0.000311184,0.000302104,0.000295299,0.000295299,0.000295299
