Name of the initiative,Instrument Type,Country,Region,Jurisdiction Covered,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,Finland,US$ millions,160.8910891,144.1241685,111.6838488,179.4871795,0,0,0,0,0,0,0,0,0,0,601.3773875,539.6458819,614.1749563,706.4321167,644.5150303,544.6614846,689.6206348,936.3479396,1283.221355,1427.172036,1137.056975,1456.482528,1349.6905,1351.745041,1609.414797,1458.572417,1419.493196,1644.440001,1734.450968,1418.64375
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,Poland,US$ millions,2.065790156,1.42767977,1.124911967,0.856439848,0.771435022,0.717332273,0.808477265,0.813570804,0.649934799,0.612415773,0.59236776,0.581100288,0.80652401,0.874520647,1.075727597,1.043694413,1.270388008,1.6428095,1.124817059,1.349435849,1.425678623,1.413907874,1.388486392,1.523159204,1.22290005,1.211440352,1.211440352,1.141991723,1.326928351,1.218041381,5.935720158,1.219945217,6.623094432,1.257744445
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,Norway,US$ millions,0,124.8055128,280.8275559,311.9072802,417.0332681,398.1636146,414.8644022,398.2531603,418.0623026,818.5368683,720.1350678,728.246661,902.4297028,1013.376363,1145.052915,1128.185717,1302.568011,1558.541661,1206.163008,1150.507101,1272.457976,1278.185991,1208.047666,1392.510365,1247.205259,1500.435962,1544.153265,1498.541527,1812.839837,1650.773454,1454.77404,1759.786039,2157.497427,1507.941053
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,Sweden,US$ millions,0,1408.962186,1205.533338,1362.281768,1522.38806,1713.432119,1796.631562,1557.900514,1574.829973,1474.546044,1168.999758,1637.434239,2350.221174,3154.039735,3740.976645,3260.134057,3536.120043,4200.083577,3090.898131,3611.361275,4323.289838,3841.110741,3894.803431,3725.274385,2704.366068,3046.352818,2809.967881,2648.175315,2879.056485,2492.294517,2004.255738,2435.322979,2342.244509,2173.094196
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,Denmark,US$ millions,0,0,227.1103896,484.2987805,611.0497238,561.1888112,580.6603774,514.893617,602.6200873,580.4627249,570.971564,573.7089202,701.8727361,804.8050036,850.2200344,828.4702801,929.6568056,1079.259073,912.857905,913.0825985,1102.429403,1068.289627,989.5106702,1098.509337,531.6422895,567.7371837,567.7371837,513.1394706,600.6537642,534.2486882,534.7770768,496.4181552,467.8309834,479.1946505
Latvia carbon tax,Carbon tax,Latvia,Europe & Central Asia,Latvia,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498166058,0.47520459,0.177887188,0.217696245,0.174086644,0.534727941,0.744538093,1.117098499,1.994635334,0,2.921295072,3.438528475,6.794749814,8.398962439,10.00566481,9.30866467,4.655456498,7.106330003,8.358075,8.2215
Slovenia Carbon tax,Carbon tax,Slovenia,Europe & Central Asia,Slovenia,US$ millions,0,0,0,0,0,0,15.61146177,13.683126,40.39365381,33.75795855,0,27.46226991,36.40861299,61.04559998,76.23779703,58.19191201,48.15769799,46.66680001,43.234944,43.52857597,46.792569,42.14131598,73.81716004,149.5663399,117.12195,84.53808735,84.53808735,79.05859408,91.68149324,83.08864651,137.1374782,154.3042421,85.1191884,90.6072375
Estonia carbon tax,Carbon tax,Estonia,Europe & Central Asia,Estonia,US$ millions,0,0,0,0,0,0,0,0,0,0,0,4.429381488,5.616706518,7.407646397,7.667710713,9.799378052,15.4397349,22.4788338,4.38071712,5.215617676,4.20482635,3.174716839,3.167114402,3.462117399,2.563992,2.8705752,2.8705752,2.684513533,3.113136682,2.821357988,1.552912433,2.008566001,1.74069,1.7128125
EU ETS,ETS,EU,Europe & Central Asia,EU,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.56648564,463.9658657,1879.385212,1295.430893,1632.31571,4983.429708,3407.876902,5639.4056,4506.722143,5906.509278,17597.54621,16450.44483,20992.75145,36481.58989,42837.66252,47369.43834
Alberta TIER,ETS,Canada,North America,Alberta,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01168452,69.84101875,65.80645161,81.939973,63.42643945,92.16091276,85.60805296,66.84110371,63.92274086,103.9319384,101.8787016,352.0771365,391.8615906,301.575556,292.2801433,475.9430946,638.4393704
